@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
148,437,1,89,147,0.377119,0.997717,0.830798,0.997717,0.169202,0.906639,0.780415,1.278443,0.000365
149,437,1,88,148,0.372881,0.997717,0.832381,0.997717,0.167619,0.90758,0.778932,1.280878,0.000419
150,437,1,87,149,0.368644,0.997717,0.833969,0.997717,0.166031,0.908524,0.777448,1.283323,0.000426
151,437,1,86,150,0.364407,0.997717,0.835564,0.997717,0.164436,0.909469,0.775964,1.285777,0.00044
152,437,1,85,151,0.360169,0.997717,0.837165,0.997717,0.162835,0.910417,0.774481,1.28824,0.000453
153,437,1,84,152,0.355932,0.997717,0.838772,0.997717,0.161228,0.911366,0.772997,1.290712,0.000479
154,437,1,83,153,0.351695,0.997717,0.840385,0.997717,0.159615,0.912317,0.771513,1.293195,0.00052
155,436,2,83,153,0.351695,0.995434,0.840077,0.995434,0.159923,0.911181,0.77003,1.292721,0.000534
156,436,2,82,154,0.347458,0.995434,0.841699,0.995434,0.158301,0.912134,0.768546,1.295217,0.000557
157,436,2,81,155,0.34322,0.995434,0.843327,0.995434,0.156673,0.913089,0.767062,1.297722,0.000566
158,436,2,80,156,0.338983,0.995434,0.844961,0.995434,0.155039,0.914046,0.765579,1.300237,0.00057
159,436,2,79,157,0.334746,0.995434,0.846602,0.995434,0.153398,0.915005,0.764095,1.302762,0.000586
160,436,2,78,158,0.330508,0.995434,0.848249,0.995434,0.151751,0.915966,0.762611,1.305296,0.000617
161,436,2,77,159,0.326271,0.995434,0.849903,0.995434,0.150097,0.91693,0.761128,1.307841,0.000623
162,436,2,76,160,0.322034,0.995434,0.851563,0.995434,0.148438,0.917895,0.759644,1.310395,0.000665
163,436,2,75,161,0.317797,0.995434,0.853229,0.995434,0.146771,0.918862,0.75816,1.31296,0.000762
164,436,2,74,162,0.313559,0.995434,0.854902,0.995434,0.145098,0.919831,0.756677,1.315534,0.000953
165,436,2,73,163,0.309322,0.995434,0.856582,0.995434,0.143418,0.920803,0.755193,1.318119,0.001071
166,436,2,72,164,0.305085,0.995434,0.858268,0.995434,0.141732,0.921776,0.753709,1.320713,0.001137
167,436,2,71,165,0.300847,0.995434,0.859961,0.995434,0.140039,0.922751,0.752226,1.323318,0.001149
168,436,2,70,166,0.29661,0.995434,0.86166,0.995434,0.13834,0.923729,0.750742,1.325934,0.001152
169,436,2,69,167,0.292373,0.995434,0.863366,0.995434,0.136634,0.924708,0.749258,1.328559,0.001285
170,436,2,68,168,0.288136,0.995434,0.865079,0.995434,0.134921,0.92569,0.747774,1.331195,0.001336
171,436,2,67,169,0.283898,0.995434,0.866799,0.995434,0.133201,0.926674,0.746291,1.333842,0.001362
172,436,2,66,170,0.279661,0.995434,0.868526,0.995434,0.131474,0.92766,0.744807,1.336499,0.00138
173,436,2,65,171,0.275424,0.995434,0.870259,0.995434,0.129741,0.928647,0.743323,1.339166,0.001398
174,436,2,64,172,0.271186,0.995434,0.872,0.995434,0.128,0.929638,0.74184,1.341845,0.001453
175,436,2,63,173,0.266949,0.995434,0.873747,0.995434,0.126253,0.93063,0.740356,1.344534,0.001608
